cell_id,tough_label,material,tough_material,generated
534,A1634,Rocka,ROCKA,False
535,A1635,Rocka,ROCKA,False
536,A1636,Rocka,ROCKA,False
537,A1637,Rocka,ROCKA,False
538,A1638,Rocka,ROCKA,False
539,A1639,Rocka,ROCKA,False
540,A1640,Rocka,ROCKA,False
541,A1641,Rocka,ROCKA,False
542,A1642,Rocka,ROCKA,False
543,A1643,Rocka,ROCKA,False
544,A1644,Rocka,ROCKA,False
545,A1645,Rocka,ROCKA,False
546,A1646,Rocka,ROCKA,False
547,A1647,Rocka,ROCKA,False
548,A1648,Rocka,ROCKA,False
549,A1649,Rocka,ROCKA,False
550,A1650,Rocka,ROCKA,False
551,A1651,Rocka,ROCKA,False
552,A1652,Rocka,ROCKA,False
553,A1653,Rocka,ROCKA,False
554,A1654,Rocka,ROCKA,False
555,A1655,Rocka,ROCKA,False
556,A1656,Rocka,ROCKA,False
557,A1657,Rocka,ROCKA,False
558,A1658,Rocka,ROCKA,False
559,A1659,Rocka,ROCKA,False
560,A1660,Rocka,ROCKA,False
561,A1661,Rocka,ROCKA,False
562,A1662,Rocka,ROCKA,False
563,A1663,Rocka,ROCKA,False
564,A1664,Rocka,ROCKA,False
565,A1665,Rocka,ROCKA,False
566,A1666,Rocka,ROCKA,False
567,A1667,Rocka,ROCKA,False
568,A1668,Rocka,ROCKA,False
569,A1669,Rocka,ROCKA,False
570,A1670,Rocka,ROCKA,False
571,A1671,Rocka,ROCKA,False
572,A1672,Rocka,ROCKA,False
573,A1673,Rocka,ROCKA,False
574,A1674,Rocka,ROCKA,False
575,A1675,Rocka,ROCKA,False
576,A1676,Rocka,ROCKA,False
577,A1677,Rocka,ROCKA,False
578,A1678,Rocka,ROCKA,False
579,A1679,Rocka,ROCKA,False
580,A1680,Rocka,ROCKA,False
581,A1681,Rocka,ROCKA,False
582,A1682,Rocka,ROCKA,False
583,A1683,Rocka,ROCKA,False
584,A1684,Rocka,ROCKA,False
585,A1685,Rocka,ROCKA,False
586,A1686,Rocka,ROCKA,False
587,A1687,Rocka,ROCKA,False
588,A1688,Rocka,ROCKA,False
589,A1689,Rocka,ROCKA,False
590,A1690,Rocka,ROCKA,False
591,A1691,Rocka,ROCKA,False
592,A1692,Rocka,ROCKA,False
593,A1693,Rocka,ROCKA,False
594,A1694,Rocka,ROCKA,False
595,A1695,Rocka,ROCKA,False
596,A1696,Rocka,ROCKA,False
597,A1697,Rocka,ROCKA,False
598,A1698,Rocka,ROCKA,False
